,number,value,datetime_start,datetime_complete,duration,params_d_conv_layers,params_d_num_filters_l0,params_d_num_filters_l1,params_d_num_filters_l2,params_g_convT_layers,params_g_num_filters_l0,params_g_num_filters_l1,params_g_num_filters_l2,params_g_num_filters_l3,state
0,0,,2024-08-01 23:12:05.981441,2024-08-01 23:16:05.442457,0 days 00:03:59.461016,3.0,39.0,32.0,66.0,4.0,95.0,127.0,79.0,101.0,FAIL
1,1,,2024-08-01 23:16:05.463948,2024-08-01 23:19:42.710607,0 days 00:03:37.246659,3.0,40.0,32.0,111.0,3.0,94.0,106.0,95.0,,FAIL
2,2,,2024-08-01 23:19:42.728327,2024-08-01 23:23:12.082561,0 days 00:03:29.354234,3.0,67.0,45.0,122.0,3.0,78.0,109.0,65.0,,FAIL
3,3,,2024-08-01 23:23:12.101584,2024-08-01 23:26:47.562171,0 days 00:03:35.460587,1.0,127.0,,,2.0,119.0,102.0,,,FAIL
4,4,,2024-08-01 23:26:47.592694,2024-08-01 23:30:40.797036,0 days 00:03:53.204342,2.0,80.0,37.0,,3.0,85.0,82.0,103.0,,FAIL
5,5,,2024-08-01 23:30:40.817565,2024-08-01 23:34:45.019402,0 days 00:04:04.201837,3.0,37.0,83.0,66.0,3.0,97.0,93.0,103.0,,FAIL
6,6,,2024-08-01 23:34:45.040817,2024-08-01 23:39:08.658454,0 days 00:04:23.617637,2.0,32.0,123.0,,4.0,101.0,75.0,94.0,99.0,FAIL
7,7,,2024-08-01 23:39:08.681776,2024-08-01 23:42:57.378930,0 days 00:03:48.697154,1.0,37.0,,,3.0,110.0,124.0,93.0,,FAIL
8,8,,2024-08-01 23:42:57.400440,2024-08-01 23:47:02.691038,0 days 00:04:05.290598,2.0,80.0,108.0,,2.0,127.0,105.0,,,FAIL
9,9,,2024-08-01 23:47:02.712102,2024-08-01 23:50:45.639376,0 days 00:03:42.927274,1.0,55.0,,,3.0,82.0,76.0,97.0,,FAIL
10,10,,2024-08-01 23:56:01.448559,2024-08-01 23:56:06.934884,0 days 00:00:05.486325,,,,,,,,,,FAIL
11,11,,2024-08-01 23:56:09.476563,2024-08-02 00:00:05.975155,0 days 00:03:56.498592,1.0,67.0,,,4.0,100.0,72.0,70.0,109.0,FAIL
12,12,,2024-08-02 00:00:05.997041,2024-08-02 00:03:28.242578,0 days 00:03:22.245537,1.0,47.0,,,2.0,95.0,95.0,,,FAIL
13,13,,2024-08-02 00:03:28.262647,2024-08-02 00:06:46.738139,0 days 00:03:18.475492,1.0,76.0,,,3.0,110.0,93.0,65.0,,FAIL
14,14,11.219304084777832,2024-08-02 00:08:37.475083,2024-08-02 00:12:36.715506,0 days 00:03:59.240423,2.0,119.0,103.0,,2.0,125.0,64.0,,,COMPLETE
15,15,13.517017364501953,2024-08-02 00:12:36.749571,2024-08-02 00:16:59.299467,0 days 00:04:22.549896,2.0,43.0,126.0,,2.0,70.0,124.0,,,COMPLETE
16,16,1029.769287109375,2024-08-02 00:16:59.323862,2024-08-02 00:21:21.482530,0 days 00:04:22.158668,1.0,75.0,,,4.0,108.0,94.0,114.0,93.0,COMPLETE
